ID,SONG_NAME,rmse,zcr,mfcc,mfcc_delta,loudness,tempo,chroma_stft_mean,chroma_cq_mean,beats,chroma_cens_mean,mel_mean,cent_mean,spec_bw_mean,contrast_mean,rolloff_mean,poly_features,tonnetz,harm_mean,perc_mean,class
1,Aagam Shah_Anger_1.wav,0.07475639134645462,0.10011839406370657,-20.344985961914062,-0.0006779508548788726,-14.35760334408082,135.99917763157896,0.4327799379825592,0.5518582540176218,962,0.2690305082970525,3.3918204307556152,1777.113605445156,1703.5663566887943,24.366776176158407,3469.2567567567567,0.8522984068018017,-0.005410575473997443,-7.2902862484625075e-06,-2.4624057914479636e-05,0
2,Aagam Shah_Anger_2.wav,0.09950759261846542,0.1419515444364162,-18.711191177368164,0.001012669876217842,-14.196393979850221,86.1328125,0.4218962788581848,0.5488333232713938,224,0.2778639740794204,4.2288432121276855,2293.5192253100163,1871.8190561581946,24.306667840454434,4354.996979994581,1.2551603519000067,-0.0067171207390521155,-5.243739906291012e-06,-3.6198238376528025e-05,0
3,Aagam Shah_Anger_3.wav,0.09559103101491928,0.11338975694444445,-20.361785888671875,-0.004645661450922489,-13.557769559020297,143.5546875,0.399551659822464,0.5209277970807293,566,0.27223376686194417,4.468053340911865,1964.028950472723,1811.911126127819,24.629924240877838,3912.0646158854165,1.1061173510250124,0.0012640274031216103,-6.520902843476506e-06,-1.3785769624519162e-05,0
4,Aagam Shah_Anger_4.wav,0.06337181478738785,0.07929008807915058,-20.673686981201172,-0.0016327410703524947,-15.892481173196591,107.666015625,0.4124218225479126,0.5451707400024529,358,0.27394781114325933,2.5487701892852783,1472.2470296533006,1425.1465144746132,23.581224524372953,2624.3071684966217,0.6784211077551516,-0.0011774396634654778,-6.021627996233292e-06,-1.6283976947306655e-05,0
5,Aagam Shah_Anger_5.wav,0.09917519986629486,0.08197866586538462,-19.07447052001953,2.6272993636666797e-05,-13.871863967613416,151.99908088235293,0.4018034338951111,0.5160315169174858,175,0.26986003759076327,5.008720397949219,1627.2541758579646,1583.579394325612,24.48939926179501,3051.172062800481,1.0693539262653922,-0.0061979614916913,-5.671078270097496e-06,-2.778874841169454e-05,0
6,Aagam Shah_Anger_6.wav,0.06625460088253021,0.0846481544384058,-21.841838836669922,0.0049925511702895164,-14.097625703909985,67.99958881578948,0.4351283013820648,0.5587050214615802,843,0.2738305027474103,3.0066328048706055,1582.6409840042204,1571.3036889177006,23.635611473474032,3050.1938264266305,0.7469472395282394,-5.8697120439787006e-05,-8.515134140907321e-06,-2.8456375730456784e-05,0
7,Aagam Shah_Anger_7.wav,0.08036452531814575,0.10837809244791667,-20.015783309936523,0.0011984821176156402,-13.170269652223338,103.359375,0.4608725905418396,0.5753100263296215,310,0.2717954482542001,4.202387809753418,1787.082412707695,1552.9374841933502,23.322140656728873,3449.748738606771,0.9040597937331898,-0.004051770639555759,-5.851213700225344e-06,-2.7758253054344095e-05,0
8,Aashreen_Anger-1.wav,0.15648779273033142,0.06450969416920732,-5.42446756362915,0.006800483912229538,-14.350053687895393,135.99917763157896,0.3425600528717041,0.47062384005288527,466,0.26317694264799146,8.239397048950195,1532.6361227237628,1912.5133809373974,21.338636961896217,2891.8172696741617,1.2579693653976178,-0.004391832225619477,-4.141943179547525e-07,-9.004822913993848e-07,0
9,Aashreen_Anger-2.wav,0.0999966412782669,0.09369239378511236,-6.610465049743652,0.02971431240439415,-17.373824586788498,95.703125,0.3811230957508087,0.5012269646383459,354,0.2579899484788383,3.986192226409912,1822.9823824351458,2012.436080687684,20.46069717453036,3541.0021835498596,0.8156681068101694,-0.0013615344079847267,3.3675598842819454e-06,-1.321070158155635e-06,0
10,Aashreen_Anger-3.wav,0.1451338529586792,0.07339130333083832,-5.699975967407227,0.022606898099184036,-14.735097644987642,172.265625,0.3276658356189728,0.4444437121763461,677,0.2552619255637389,7.433952808380127,1761.667155468448,2081.8348070124093,20.856692318183224,3418.750584767964,1.0875429139227022,0.008834569177703377,-1.2320142559474334e-06,-3.9055398701748345e-06,0
